starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 22 21:35:28 2022	1666492528	0	4200	4200	4200
Sat Oct 22 21:35:24 2022	1666492524	0	4647	4647	4639
Sat Oct 22 21:35:28 2022	1666492528	8	8991	8999	8991
Sat Oct 22 21:35:28 2022	1666492528	7	13998	14005	13998
Sat Oct 22 21:35:28 2022	1666492528	7	19492	19499	19492
Sat Oct 22 21:35:28 2022	1666492528	7	25294	25301	25294
Sat Oct 22 21:35:28 2022	1666492528	7	30699	30706	30699
Sat Oct 22 21:35:28 2022	1666492528	7	36398	36404	36398
Sat Oct 22 21:35:28 2022	1666492528	7	41592	41598	41592
Sat Oct 22 21:35:28 2022	1666492528	6	46897	46903	46897
Sat Oct 22 21:35:28 2022	1666492528	6	52496	52502	52496
Sat Oct 22 21:35:28 2022	1666492528	6	57698	57704	57698
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:29 2022	1666492589	0	60001	60001	60001
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:42:21 2022	1666492941	0	60002	60002	60002
Sat Oct 22 21:35:48 2022	1666492548	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60002	60002	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60002
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:37:29 2022	1666492649	0	60003	60003	60003
Sat Oct 22 21:36:28 2022	1666492588	0	60003	60003	60003
Sat Oct 22 21:39:33 2022	1666492773	0	60004	60004	60004
Sat Oct 22 21:36:28 2022	1666492588	0	60004	60004	60004
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60004
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60004
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60004
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:10 2022	1666492570	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:37:28 2022	1666492648	0	60005	60005	60005
Sat Oct 22 21:35:33 2022	1666492533	0	60006	60006	60005
Sat Oct 22 21:41:21 2022	1666492881	0	60006	60006	60005
Sat Oct 22 21:35:59 2022	1666492559	0	60006	60006	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60006	60006	60005
Sat Oct 22 21:40:48 2022	1666492848	0	60006	60006	60005
Sat Oct 22 21:35:37 2022	1666492537	0	60006	60006	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60006	60006	60005
Sat Oct 22 21:36:28 2022	1666492588	0	60006	60006	60005
Sat Oct 22 21:41:10 2022	1666492870	0	60006	60006	60006
Sat Oct 22 21:37:33 2022	1666492653	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:37 2022	1666492657	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:35:42 2022	1666492542	0	60006	60006	60006
Sat Oct 22 21:36:42 2022	1666492602	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:40:33 2022	1666492833	0	60006	60006	60006
Sat Oct 22 21:38:33 2022	1666492713	0	60006	60006	60006
Sat Oct 22 21:36:05 2022	1666492565	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
Sat Oct 22 21:41:48 2022	1666492908	0	60006	60006	60006
Sat Oct 22 21:41:33 2022	1666492893	0	60006	60006	60006
Sat Oct 22 21:43:33 2022	1666493013	0	60006	60006	60006
Sat Oct 22 21:42:26 2022	1666492946	0	60006	60006	60006
Sat Oct 22 21:40:37 2022	1666492837	0	60006	60006	60006
Sat Oct 22 21:37:28 2022	1666492648	0	60006	60006	60006
